class,warna,tipe
#9e494e,#d37778,matte
#9e494e,#af3e2c,matte
#9e494e,#d14d5a,matte
#9e494e,#bf4f5b,lipcream
#9e494e,#d3737e,lipcream
#9e494e,#b4555d,lipcream
#9e494e,#c87881,lipcream
#9e494e,#e21d0a,liptint
#9e494e,#da1b44,liptint
#9e494e,#ce3223,glossy
#9e494e,#e3687d,glossy
#cd6669,#854843,matte
#cd6669,#a13a4f,matte
#cd6669,#c45659,matte
#cd6669,#b23958,matte
#cd6669,#d14d5a,matte
#cd6669,#c63425,matte
#cd6669,#be505d,lipcream
#cd6669,#bc5159,lipcream
#cd6669,#d57173,lipcream
#cd6669,#a12721,lipcream
#cd6669,#bf4f5b,lipcream
#cd6669,#d3737e,lipcream
#cd6669,#9d3335,lipcream
#cd6669,#b75459,lipcream
#cd6669,#cd766f,lipcream
#cd6669,#a22f34,lipcream
#cd6669,#993533,lipcream
#cd6669,#da1b44,liptint
#cd6669,#d24e73,liptint
#cd6669,#d05e75,glossy
#d78a84,#854843,matte
#d78a84,#d37778,matte
#d78a84,#a13a4f,matte
#d78a84,#c45659,matte
#d78a84,#b23958,matte
#d78a84,#6a241a,matte
#d78a84,#bc3d1d,matte
#d78a84,#af3e2c,matte
#d78a84,#d14d5a,matte
#d78a84,#bc3c23,matte
#d78a84,#c65847,matte
#d78a84,#bc5159,lipcream
#d78a84,#d57173,lipcream
#d78a84,#7b1f10,lipcream
#d78a84,#bf4f5b,lipcream
#d78a84,#b4555d,lipcream
#d78a84,#b75459,lipcream
#d78a84,#c87881,lipcream
#d78a84,#a22f34,lipcream
#d78a84,#993533,lipcream
#d78a84,#e21d0a,liptint
#d78a84,#da1b44,liptint
#d78a84,#d24e73,liptint
#d78a84,#d05e75,glossy
#d78a84,#e3687d,glossy
#f7c6b5,#6f2218,matte
#f7c6b5,#d37778,matte
#f7c6b5,#a13a4f,matte
#f7c6b5,#c45659,matte
#f7c6b5,#b23958,matte
#f7c6b5,#bc3d1d,matte
#f7c6b5,#d14d5a,matte
#f7c6b5,#c7371d,matte
#f7c6b5,#c63425,matte
#f7c6b5,#bc3c23,matte
#f7c6b5,#be505d,lipcream
#f7c6b5,#d57173,lipcream
#f7c6b5,#a12721,lipcream
#f7c6b5,#bf4f5b,lipcream
#f7c6b5,#d3737e,lipcream
#f7c6b5,#b4555d,lipcream
#f7c6b5,#cd766f,lipcream
#f7c6b5,#c87881,lipcream
#f7c6b5,#a22f34,lipcream
#f7c6b5,#e21d0a,liptint
#f7c6b5,#da1b44,liptint
#f7c6b5,#d24e73,liptint
#f7c6b5,#d05e75,glossy
#f7c6b5,#e3687d,glossy
#f7c6b5,#d8cecd,glossy
#da1f4a,#854843,matte
#da1f4a,#d37778,matte
#da1f4a,#c45659,matte
#da1f4a,#b23958,matte
#da1f4a,#8d1e0b,matte
#da1f4a,#af3e2c,matte
#da1f4a,#d14d5a,matte
#da1f4a,#c7371d,matte
#da1f4a,#bc3c23,matte
#da1f4a,#953737,lipcream
#da1f4a,#be505d,lipcream
#da1f4a,#bc5159,lipcream
#da1f4a,#7b1f10,lipcream
#da1f4a,#bf4f5b,lipcream
#da1f4a,#d3737e,lipcream
#da1f4a,#c87881,lipcream
#da1f4a,#da1b44,liptint
#da1f4a,#ce3223,glossy
#da1f4a,#b7372c,glossy
#da1f4a,#d05e75,glossy
#e2546a,#d37778,matte
#e2546a,#a13a4f,matte
#e2546a,#b23958,matte
#e2546a,#6a241a,matte
#e2546a,#5f2a24,matte
#e2546a,#62271f,matte
#e2546a,#af3e2c,matte
#e2546a,#d14d5a,matte
#e2546a,#be505d,lipcream
#e2546a,#bc5159,lipcream
#e2546a,#bf4f5b,lipcream
#e2546a,#d3737e,lipcream
#e2546a,#9d3335,lipcream
#e2546a,#b75459,lipcream
#e2546a,#a22f34,lipcream
#e2546a,#da1b44,liptint
#e2546a,#d24e73,liptint
#e2546a,#d05e75,glossy
#e2546a,#e3687d,glossy
#e2546a,#d8cecd,glossy
#e77978,#c1807e,matte
#e77978,#6f2218,matte
#e77978,#d37778,matte
#e77978,#a13a4f,matte
#e77978,#c45659,matte
#e77978,#b23958,matte
#e77978,#8d1e0b,matte
#e77978,#bc3d1d,matte
#e77978,#d14d5a,matte
#e77978,#c7371d,matte
#e77978,#c63425,matte
#e77978,#bc3c23,matte
#e77978,#c65847,matte
#e77978,#be505d,lipcream
#e77978,#bc5159,lipcream
#e77978,#d57173,lipcream
#e77978,#a12721,lipcream
#e77978,#bf4f5b,lipcream
#e77978,#c57777,lipcream
#e77978,#b4555d,lipcream
#e77978,#9d3335,lipcream
#e77978,#b75459,lipcream
#e77978,#cd766f,lipcream
#e77978,#a22f34,lipcream
#e77978,#993533,lipcream
#e77978,#e21d0a,liptint
#e77978,#da1b44,liptint
#e77978,#d24e73,liptint
#e77978,#ce3223,glossy
#e77978,#b7372c,glossy
#c46d66,#6f2218,matte
#c46d66,#a13a4f,matte
#c46d66,#b23958,matte
#c46d66,#5f2a24,matte
#c46d66,#62271f,matte
#c46d66,#af3e2c,matte
#c46d66,#c7371d,matte
#c46d66,#c63425,matte
#c46d66,#953737,lipcream
#c46d66,#be505d,lipcream
#c46d66,#d87174,lipcream
#c46d66,#a12721,lipcream
#c46d66,#bf4f5b,lipcream
#c46d66,#d3737e,lipcream
#c46d66,#9d3335,lipcream
#c46d66,#cd766f,lipcream
#c46d66,#a22f34,lipcream
#c46d66,#993533,lipcream
#c46d66,#e21d0a,liptint
#c46d66,#b7372c,glossy
#c46d66,#d05e75,glossy
#c46d66,#e3687d,glossy
#d67e7d,#a13a4f,matte
#d67e7d,#c45659,matte
#d67e7d,#8d1e0b,matte
#d67e7d,#6a241a,matte
#d67e7d,#d14d5a,matte
#d67e7d,#be505d,lipcream
